RecipeId,Name,CookMins,PrepMins,TotalMins,IngredientList,Quantities,Keywords,Images,RecipeCategory,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeInstructions
462697,Boy Scout Apples,10,15,25,"[""baking apples"", ""unsalted butter"", ""sugar"", ""ground cinnamon"", ""salt""]","[""4"", ""4"", ""2"", ""2"", ""1/8""]","[""Dessert"", ""Apple"", ""Fruit"", ""Low Protein"", ""Kid Friendly"", ""Camping"", ""Weeknight"", ""< 30 Mins"", ""Beginner Cook"", ""Easy""]","[""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/46/26/97/pic0ywvjR.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/46/26/97/pichJaJrj.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/46/26/97/picWfU3gu.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/46/26/97/pic8gmI75.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/46/26/97/pic5oHBT9.jpg""]",Breakfast,224.1,11.8,7.3,30.5,76.2,32.5,5.1,25.2,0.7,"[""Core the apples and peel off a strip around the equator(middle) of each apple to prevent bursting."", ""Mash together the butter, sugar or jam, cinnamon, and salt in a small bowl."", ""Fill each apple cavity with some of the mixture and wrap each apple individually in aluminum foil."", ""Preheat a grill to medium high heat."", ""Place the apple packets on the grill. Close the cover and cook until the fruit is just tender, 8-10 minutes."", ""Remove from grill, unwrap carefully, and enjoy!""]"
240252,Creamy Baked Polenta With Herbs and Green Onions,30,10,40,"[""water"", ""yellow cornmeal"", ""salt"", ""fresh ground black pepper"", ""butter"", ""green onions"", ""garlic cloves"", ""fresh Italian parsley"", ""fresh thyme"", ""parmesan cheese"", ""lemon peel""]","[""6"", ""1 1/2"", ""2"", ""1/4"", ""2"", ""4"", ""3"", ""3 -4"", ""1 1/2 - 2"", ""1/3"", ""3/4"", ""1""]","[""< 60 Mins"", ""Easy""]","[""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/24/02/52/picLjljFA.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/24/02/52/picRgQzXn.jpg""]",Low Protein,250.5,13.4,7.8,39.3,1017.0,25.8,2.7,0.6,8.0,"[""Preheat oven to 350.  Pour 6 cups water into sprayed 13x9 glass baking dish.  Whisk polenta, salt and pepper into water.  Bake uncovered about 30 minutes.  Could be a little more or less. Make sure it doesn't get hard."", ""Meanwhile, melt butter in small skillet over medium heat.  Add green onions and garlic, saute 2 minutes.  Stir in parsley, thyme and cream.  Season with salt and pepper.  Remove from heat."", ""Stir polenta to blend.  Stir green onion mixture, cheese and lemon peel into polenta.  If liquid isn't completely absorbed, bake a little longer.""]"
449889,Classic Fried Shrimp,20,20,40,"[""flour"", ""salt"", ""pepper"", ""garlic powder"", ""eggs"", ""water"", ""panko breadcrumbs"", ""large shrimp"", ""lemon wedge""]","[""1/2"", ""1"", ""1/2"", ""1/2"", ""1/4"", ""2"", ""2"", ""1"", ""1""]","[""Weeknight"", ""< 60 Mins""]",[],Healthy,202.8,4.1,1.0,236.2,1312.8,18.6,0.8,0.6,21.2,"[""Heat 2 to 3 inches oil to 365\u00baF in a deep fryer or heavy deep saucepan."", ""Combine flour, salt, onion salt, pepper and garlic powder in shallow bowl. Beat eggs and water in separate shallow bowl. Place bread crumbs in another shallow bowl."", ""Coat shrimp with flour mixture. Dip in egg mixture. Drain off excess. Coat lightly with crumbs."", ""Fry shrimp, a few at a time, 2 to 3 minutes or until golden brown. Turn as needed for even browning. Drain on paper towels. Serve with lemon wedges and cocktail and/or tartar sauce if desired.""]"
466069,Chicken Teriyaki,45,30,75,"[""soy sauce"", ""sugar"", ""mirin"", ""fresh ginger"", ""garlic clove"", ""cornstarch"", ""red pepper flakes"", ""chicken thighs"", ""ground black pepper"", ""scallions""]","[""1/2"", ""1/2"", ""2"", ""2"", ""1"", ""1/2"", ""1/8"", ""8"", ""1"", ""2""]","[""Chicken"", ""Poultry"", ""Meat"", ""Stove Top"", ""< 4 Hours""]",[],Chicken Thigh & Leg,554.5,32.1,8.5,157.9,2201.6,28.8,0.5,25.9,36.5,"[""Whisk the soy sauce, sugar, mirin, ginger, garlic, cornstarch, and red pepper flakes together in a bowl; set aside."", ""Pat chicken thighs dry with paper towels; season with pepper."", ""Heat the oil in a 12-inch nonstick skillet over med-high heat until shimmering."", ""Carefully lay the chicken thighs, skin side down, in the skillet."", ""Weight the chicken thighs with a heavy pot and cook until the skin is well browned and very crisp, about 15 minutes (the chicken thighs should be moderately brown after 10 minutes; decrease the heat if they are very brown, or  increase the heat if they are pale)."", ""Flip the chicken thighs over and continue to cook, without replacing the weight, until the thickest part of the chicken thighs register 170 to 175 degrees on an instant-read thermometer, 5-10 minutes longer."", ""Transfer the chicken to a plate, tent loosely with foil, and let rest while making the sauce."", ""Pour off all the fat from the skillet."", ""Whisk the soy mixture to recombine, then add it to the skillet and bring to a simmer over medium heat."", ""Nestle the chicken thighs into the sauce, skin side up, and spoon some of the sauce over the top."", ""Continue to simmer until the sauce is thick and glossy, about 2 minutes longer."", ""Transfer the chicken and sauce to a platter, sprinkle with the scallions and serve.""]"
71567,"Vegetarian, Low-Fat Potato, Onion & Tomato Gratin",85,20,105,"[""onion"", ""fresh thyme leaves"", ""dried thyme"", ""tomatoes"", ""garlic"", ""olive oil"", ""white wine"", ""vegetable broth"", ""unsalted butter""]","[""1"", ""2 1/4"", ""1"", ""1 1/2"", ""4"", ""2"", ""1/2"", ""1"", ""1""]","[""Potato"", ""Onions"", ""Vegetable"", ""Weeknight"", ""Oven"", ""< 4 Hours""]",[],One Dish Meal,227.1,6.9,1.9,5.1,18.1,34.6,4.6,5.7,4.6,"[""Preheat the oven to 375 degrees."", ""Lightly spray or oil a 9-inch square or oval gratin dish with 2-inch sides."", ""Place the onion slices on the bottom of the prepared dish and sprinkle with salt and pepper."", ""Arrange half of the potato slices over the onion and sprinkle with salt and pepper and half of the thyme."", ""Arrange all of the tomato slices over the potatoes and cover with the garlic slices."", ""Sprinkle with salt, pepper and the remaining thyme."", ""Add a layer of the remaining potatoes and season with salt and pepper."", ""Drizzle the olive oil over the casserole."", ""Pour the white wine and enough vegetable broth to come two-thirds of the way up the dish."", ""Dot with butter, if desired."", ""Cover with foil and bake for 45 minutes."", ""Remove the foil and press down on the potatoes to make sure they are adequately moistened."", ""Bake another 40 minutes or until the top is golden brown and a knife pierces through to the bottom easily."", ""Remove from the oven and serve with French bread and a green salad."", ""Makes 6 servings.""]"
508822,Chocolate Fudge Loaf (ABM),90,10,100,"[""water"", ""bittersweet chocolate"", ""egg"", ""salt"", ""honey"", ""bread flour"", ""dry buttermilk"", ""instant yeast"", ""chocolate chips""]","[""1 1/4"", ""1 1/2"", ""1"", ""1 1/2"", ""1/4"", ""4"", ""1/2"", ""3"", ""1 1/2"", ""3/4""]","[""Healthy"", ""< 4 Hours"", ""Easy""]",[],Breads,2790.2,53.6,28.2,227.4,3908.7,505.1,27.9,101.3,89.4,"[""Measure ingredients except chocolate chips into baking pan in the order recommended by the manufacturer. Select sweet cycle."", ""Add chocolate chips at the \u201cadd ingredient\u201d signal.""]"
151554,Potato Gratin With Dijon and White Cheddar,90,25,115,"[""butter"", ""dried thyme"", ""salt"", ""black pepper"", ""sharp white cheddar cheese"", ""flour"", ""russet potatoes"", ""chicken broth"", ""Dijon mustard""]","[""2"", ""3"", ""1"", ""2"", ""1"", ""1/4"", ""5"", ""4"", ""1"", ""6""]","[""Vegetable"", ""Christmas"", ""Thanksgiving"", ""Oven"", ""Beginner Cook"", ""< 4 Hours"", ""Easy""]",[],Potato,737.0,36.9,22.2,111.8,1698.4,75.2,8.1,4.9,27.4,"[""Set oven to 375 degrees."", ""Position oven rack to second-lowest position."", ""Butter a 4-quart (15x10-inch) casserole dish."", ""In a skillet melt butter over medium heat."", ""Add in the fresh bread crumbs and stir with a wooden spoon until golden brown (about 10 minutes) set aside to cool slightly."", ""In a small bowl mix the thyme, salt and pepper."", ""In a large bowl combine the grated white cheddar cheese and flour; toss to coat the cheese."", ""Arrange 1/3 of the potatoes slices over the bottom of the prepared dish."", ""Sprinkle with 1/3 of the thyme/salt mixture."", ""Then 1/3 of the cheese/flour mixture."", ""Repeat layering potatoes, thyme mixture and the cheese mixture TWO more times (you should have three layers of all ingredients)."", ""In a medium bowl whisk together the chicken broth, whipping cream and Dijon mustard; pour the broth mixture over the potatoes."", ""Bake uncovered for 30 minutes."", ""Remove from oven and sprinkle with the breadcrumb mixture."", ""Return to oven and bake for another 1 hour or longer if needed until the potatoes are tender."", ""Let stand 15 minutes before serving.""]"
6970,Sweet Pickled Cherry Tomatoes,,,30,"[""cherry tomatoes"", ""sugar"", ""water"", ""lemons"", ""pickling salt""]","[""4"", ""3 1/2"", ""4"", ""1"", ""2"", ""1""]","[""< 30 Mins"", ""Canning""]",[],Vegetable,1084.1,0.7,0.1,0.0,410.5,278.1,4.2,272.5,2.9,"[""Wash the tomatoes and prick each one in several places with the tines of a fork."", ""Dissolve the sugar in the water, bring to a boil and boil rapidly for 5 minutes."", ""Add the tomatoes and cook for 10 minutes."", ""Remove the tomatoes and to the syrup add the ginger root, lemon juice and rind, and salt."", ""Simmer the syrup for 15 minutes, return the tomatoes to the syrup and cook about 30 minutes longer, or till the syrup is thick and the tomatoes are transparent."", ""Turn into hot jars and seal.""]"
229475,Potato and Tomato Pie,30,20,50,"[""potatoes"", ""fresh parsley"", ""garlic clove"", ""red chile"", ""olive oil"", ""salt"", ""pepper"", ""tomatoes"", ""sea salt"", ""garlic cloves"", ""olive oil""]","[""6"", ""4"", ""1"", ""1"", ""1"", ""3"", ""1/2"", ""1 1/2"", ""3"", ""1"", ""2"", ""4""]","[""Vegetable"", ""Portuguese"", ""European"", ""< 60 Mins""]","[""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/94/75/pic59CDmh.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/94/75/pickqjAsZ.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/94/75/picCGAq71.jpg""]",Potato,535.8,24.9,3.5,0.0,1790.2,73.7,12.6,13.1,10.3,"[""RED PEPPER SAUCE."", ""Mix together the salt and peppers, allow to stand for 1 day."", ""Heat a grill, Wash the peppers, drain and pat dry."", ""Place the peppers on a baking tray skin side uppermost and place it under the grill, grill till the skin is charred."", ""Allow to cool and remove the skins."", ""In a blender puree the peppers with the garlic and olive oil."", ""Peel and slice the potatoes, when just done drain them."", ""Oil a shallow baking dish Spread a thin layer of pepper paste on the bottom of the dish. Now add the potatoes, spread the rest of the pepper paste over the potatoes."", ""Top the potatoes with the sliced tomatoes."", ""Chop together the parsley, garlic and chillies, mix with the oil and lemon juice. Spread the oil mix over the tomatoes, season with salt and pepper."", ""Preheat oven to 200C and bake for 30 minutes."", ""Serve hot.""]"
57493,Cool Pineapple Dessert,15,25,40,"[""graham cracker crumbs"", ""sugar"", ""margarine"", ""miniature marshmallows"", ""crushed pineapple""]","[""1 1/4"", ""1/4"", ""1/3"", ""3 1/2"", ""1"", ""1""]","[""Pineapple"", ""Tropical Fruits"", ""Fruit"", ""Canadian"", ""< 60 Mins"", ""Oven"", ""Refrigerator"", ""Beginner Cook"", ""Stove Top"", ""Easy"", ""Inexpensive""]",[],Dessert,342.9,12.0,2.4,0.0,225.9,59.7,1.2,43.5,2.2,"[""Crust: Combine crumbs, sugar, and margarine."", ""Mix well."", ""Reserve 2 tbsp."", ""for top."", ""Press onto bottom of a 9\\"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""]"
